REGIONDESC,TIMEDESC,PRODHIERARCHY3,PRODHIERARCHY4,PRODHIERARCHY5,PRODHIERARCHY6,VOLUME,REVENUE_PESOS,ACTUALPRICE,DISTRIBUTION_NUMERIC,WEIGHTEDDISTRIBUTION,MAX_TEMP,MIN_TEMP,AVG_TEMP,PRECIPITATION,CATEGORY_SALES,CATEGORY_SALES_REGIONAL,BARILLITO_MC_PRICE,TECATE_MC_PRICE,HEINEKEN_MC_PRICE,INDIO_MC_PRICE,BOHEMIA_MC_PRICE,New_Years_Day,Christmas_Day,Day_of_Dead,Easter_Day,Fathers_Day,Independence_Day,Trend,seasonality_index,Year,GEODESC,CHANNELDESC,PRODDESC,GEODESC1,GEOGDESC
TOTAL AUTOS AREA 3,2018-05-06,LATA,NO RETORNABLE,1,401-500,3.694,128.173,34.69761776,64,68,101.0,48.0,71.57, 15.00 ,6216.272,773.658,0.055144884000000005,-0.021909876000000002,0.034110714,-0.021326789,-0.027550132,0,0,0,0,0,0,1.035031742,0.05913808900000001,2018,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
TOTAL AUTOS AREA 5,2018-04-01,LATA,NO RETORNABLE,1,401-500,9.719,336.485,34.62136022,85,92,81.4,37.4,64.24, 2.11 ,11468.354,1745.3010000000006,0.00017308,-0.097900426,0.032239635,-0.011943511,-0.004822173,0,0,0,1,0,0,1.032336993,0.076497199,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 3,2018-05-20,LATA,NO RETORNABLE,12,251-400,7.782999999999999,238.428,30.63445972,54,60,105.2,50.0,75.52, 0.89 ,6927.291,773.181,0.040102985,1.11536e-05,0.032079552000000004,-0.006691743000000001,-0.035594116,0,0,0,0,0,0,1.035031742,0.05913808900000001,2018,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
TOTAL AUTOS AREA 3,2018-05-13,LATA,NO RETORNABLE,1,401-500,3.077,106.37700000000001,34.57166071,58,61,102.6,53.9,75.26, 7.36 ,7359.196,782.1519999999997,0.046102755999999995,-0.025610214,0.043409588,-0.021834969,-0.033894582,0,0,0,0,0,0,1.035031742,0.05913808900000001,2018,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
TOTAL AUTOS AREA 5,2018-04-08,LATA,NO RETORNABLE,1,401-500,4.772,166.985,34.99266555,79,88,81.4,37.4,62.95, 3.34 ,6059.311,1002.688,0.002693397,-0.011045236000000002,0.059956995,-0.0038098290000000003,-0.008940387,0,0,0,0,0,0,1.032336993,0.076497199,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 3,2018-05-27,LATA,NO RETORNABLE,12,251-400,8.571,254.613,29.70633532,55,61,101.6,51.8,78.6, 0.02 ,6275.531,784.86,0.041695972000000005,0.009874367,-0.080751117,0.001117175,-0.031936956,0,0,0,0,0,0,1.035031742,0.05913808900000001,2018,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
TOTAL AUTOS AREA 3,2018-05-20,LATA,NO RETORNABLE,1,401-500,2.041,71.097,34.8343949,48,54,105.2,50.0,75.52, 0.89 ,6927.291,773.181,0.040102985,1.11536e-05,0.032079552000000004,-0.006691743000000001,-0.035594116,0,0,0,0,0,0,1.035031742,0.05913808900000001,2018,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
TOTAL AUTOS AREA 5,2018-04-15,LATA,NO RETORNABLE,1,401-500,5.269,180.225,34.20478269,83,84,83.2,37.4,64.28, 0.79 ,6384.9119999999975,1142.057,-0.003973054,-0.01239244,0.05975538,-0.012094721000000001,-0.021239084,0,0,0,0,0,0,1.032336993,0.076497199,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 2,2019-03-17,LATA,NO RETORNABLE,6,251-400,2.763,83.337,30.16178067,4,5,92.0,30.2,62.41, 3.70 ,7380.420999999998,1568.8139999999999,-0.005673531,0.04805929,-0.00402644,0.061548896,0.028177415,0,0,0,0,0,0,1.061979237,0.033368106,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
TOTAL AUTOS AREA 5,2018-01-07,LATA,NO RETORNABLE,4,401-500,12.003,402.17699999999996,33.50637341,74,80,76.0,28.4,55.15, -   ,4489.871,655.398,-0.020251708,0.008547725,0.100086477,0.006786945,0.005354591,1,0,0,0,0,0,1.024252745,-0.046198099000000006,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 3,2018-05-27,LATA,NO RETORNABLE,1,401-500,2.4730000000000003,85.935,34.74929236,50,57,101.6,51.8,78.6, 0.02 ,6275.531,784.86,0.041695972000000005,0.009874367,-0.080751117,0.001117175,-0.031936956,0,0,0,0,0,0,1.035031742,0.05913808900000001,2018,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
TOTAL AUTOS AREA 6,2019-02-10,BOTELLA,RETORNABLE,12,251-400,2.697,110.96799999999999,41.1449759,38,55,102.8,48.2,76.51, 6.80 ,5806.5059999999985,1337.362,-0.019358122,0.066191819,0.025699537999999997,0.03997353,0.024223665,0,0,0,0,0,0,1.059284487,-0.047299884,2019,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
TOTAL AUTOS AREA 5,2018-04-22,LATA,NO RETORNABLE,1,401-500,5.566,188.997,33.95562343,82,86,81.4,44.6,65.31, 7.87 ,5903.285,993.811,0.036030257,0.00120821,0.062247397999999995,-0.007084988,-0.026264904,0,0,0,0,0,0,1.032336993,0.076497199,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 1,2019-06-30,BOTELLA,RETORNABLE,12,251-400,1.785,69.562,38.97030812,18,36,116.6,59.0,85.8, 0.69 ,7415.733,747.211,0.011209718,-0.052072107,-0.158246393,0.066286977,0.027035517999999998,0,0,0,0,0,0,1.070063485,0.033881833,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
TOTAL AUTOS AREA 2,2019-05-05,LATA,NO RETORNABLE,6,251-400,1.459,48.638999999999996,33.33721727,4,5,104.0,42.8,75.53, 4.01 ,7956.8730000000005,2036.851,-0.001312405,0.040880877,-0.029649956,0.065266185,0.032624242000000005,0,0,0,0,0,0,1.067368735,0.05913808900000001,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
TOTAL AUTOS AREA 6,2019-07-28,BOTELLA,RETORNABLE,1,1001 O MAS,12.210999999999999,334.971,27.43190566,62,61,99.0,53.6,82.46, 10.46 ,7357.134,1678.0539999999999,0.016525328,-0.166884861,-0.137154729,0.060503303,0.035032355,0,0,0,0,0,0,1.0727582340000001,0.038618211,2019,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
TOTAL AUTOS AREA 5,2018-01-14,LATA,NO RETORNABLE,4,401-500,10.145,340.4840000000001,33.56175456,77,64,72.4,21.2,50.22, -   ,4366.77,818.7610000000003,-0.025285553,0.028418198999999998,0.08728919199999999,-0.0009016180000000001,0.00295335,0,0,0,0,0,0,1.024252745,-0.046198099000000006,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 3,2018-06-03,LATA,NO RETORNABLE,1,401-500,3.636,125.853,34.6130363,61,69,101.7,51.4,75.79, 7.38 ,7599.726,1068.411,0.021538521,0.000854861,0.013189989,-0.021082392999999998,-0.026080982000000003,0,0,0,0,0,0,1.037726492,0.033881833,2018,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
TOTAL AUTOS AREA 6,2019-02-17,BOTELLA,RETORNABLE,12,251-400,3.195,132.072,41.33708920000001,42,58,103.0,48.2,80.43, 1.90 ,5966.113,1399.599,-0.026661288999999998,0.061171851,0.024254862999999998,0.040688598,0.027692946,0,0,0,0,0,0,1.059284487,-0.047299884,2019,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
TOTAL AUTOS AREA 5,2018-04-29,LATA,NO RETORNABLE,1,401-500,5.218,177.209,33.96109621,83,94,81.4,42.8,65.05, 6.95 ,6347.847,1272.485,0.04385645,-0.052423029,0.049200905,-0.022055078,-0.031212507,0,0,0,0,0,0,1.032336993,0.076497199,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 1,2019-07-07,BOTELLA,RETORNABLE,12,251-400,2.156,83.495,38.72680891,18,33,113.9,60.8,86.85, 3.03 ,8490.645,840.7760000000003,0.021393191000000002,0.0036874990000000003,-0.054436398,0.059044835,0.027424018999999997,0,0,0,0,0,0,1.0727582340000001,0.038618211,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
TOTAL AUTOS AREA 6,2019-08-04,BOTELLA,RETORNABLE,1,1001 O MAS,13.177,373.225,28.32397359,62,67,99.0,59.0,83.55, 21.98 ,7425.016,1709.287,0.022618459,-0.019119785,-0.037260692000000005,0.062889504,0.043506811,0,0,0,0,0,0,1.075452984,0.008025792,2019,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
TOTAL AUTOS AREA 5,2018-01-21,LATA,NO RETORNABLE,4,401-500,9.74,326.89799999999997,33.562422999999995,77,79,77.8,28.4,56.05, 0.24 ,4275.4079999999985,705.195,-0.026198772000000002,0.022840641000000002,0.08381975400000001,0.001439538,0.005209345,0,0,0,0,0,0,1.024252745,-0.046198099000000006,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 2,2019-03-24,LATA,NO RETORNABLE,1,401-500,3.6289999999999996,118.64200000000001,32.69275282,51,59,99.3,35.6,70.4, 0.26 ,7162.33,1589.585,-0.008803481,0.061616291,-0.006392236,0.06532130000000001,0.029190982999999997,0,0,0,0,0,0,1.061979237,0.033368106,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
TOTAL AUTOS AREA 6,2019-02-24,BOTELLA,RETORNABLE,12,251-400,2.9819999999999998,122.301,41.01307847,37,50,100.2,50.0,79.71, 1.44 ,5554.344,1404.675,-0.024189102,0.060282215,0.023123024,0.036167067000000004,0.026912666000000002,0,0,0,0,0,0,1.059284487,-0.047299884,2019,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
TOTAL AUTOS AREA 5,2018-05-06,LATA,NO RETORNABLE,1,401-500,5.311,183.592,34.56825457,83,91,81.4,44.6,63.17, 4.42 ,6216.272,981.446,0.055144884000000005,-0.021909876000000002,0.034110714,-0.021326789,-0.027550132,0,0,0,0,0,0,1.035031742,0.05913808900000001,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 1,2019-07-14,BOTELLA,RETORNABLE,12,251-400,1.653,63.91,38.6630369,18,33,113.0,60.8,86.55, 3.16 ,7628.76,825.58,0.026631106,0.016271822,-0.04192913,0.059437982,0.027810075,0,0,0,0,0,0,1.0727582340000001,0.038618211,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
TOTAL AUTOS AREA 6,2019-08-11,BOTELLA,RETORNABLE,1,1001 O MAS,12.61,354.714,28.1295797,65,69,100.4,55.4,83.59, 8.35 ,7152.073,1536.729,0.029368744,-0.02937495,-0.043455869,0.053298517000000004,0.0491152,0,0,0,0,0,0,1.075452984,0.008025792,2019,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
TOTAL AUTOS AREA 5,2018-12-09,LATA,NO RETORNABLE,4,401-500,23.500999999999998,738.7760000000003,31.435938899999996,80,68,72.4,32.0,55.84, -   ,7047.946999999999,1468.661,-0.077687805,0.0038688570000000003,-0.056036135,0.023893988999999997,0.012233829,0,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 2,2019-03-31,LATA,NO RETORNABLE,1,401-500,3.58,115.814,32.35027933,51,57,97.3,35.6,67.3, 5.08 ,7322.72,1716.217,-0.016281513,0.06814368900000001,-0.006878068,0.06663785400000001,0.030539687000000006,0,0,0,0,0,0,1.061979237,0.033368106,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
TOTAL AUTOS AREA 6,2019-03-03,BOTELLA,RETORNABLE,12,251-400,3.2460000000000004,130.953,40.34288355,42,53,103.0,50.0,78.69, 1.47 ,6460.179,1643.01,-0.020428896000000002,0.06192929,0.032297829,0.057968782999999996,0.026898492000000003,0,0,0,0,0,0,1.061979237,0.033368106,2019,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
TOTAL AUTOS AREA 5,2018-05-13,LATA,NO RETORNABLE,1,401-500,4.8469999999999995,167.532,34.56406024,79,64,85.0,44.6,67.71, 3.42 ,7359.196,1426.18,0.046102755999999995,-0.025610214,0.043409588,-0.021834969,-0.033894582,0,0,0,0,0,0,1.035031742,0.05913808900000001,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 1,2019-07-21,BOTELLA,RETORNABLE,12,251-400,1.8659999999999999,74.115,39.71864952,18,34,113.0,62.6,85.84, 7.19 ,8158.812,921.288,0.026785025,-0.17153275899999998,-0.162191041,0.05302024599999999,0.03209265,0,0,0,0,0,0,1.0727582340000001,0.038618211,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
TOTAL AUTOS AREA 1,2019-07-07,BOTELLA,NO RETORNABLE,12,251-400,0.008,0.392,49.0,0,0,113.9,60.8,86.85, 3.03 ,8490.645,840.7760000000003,0.021393191000000002,0.0036874990000000003,-0.054436398,0.059044835,0.027424018999999997,0,0,0,0,0,0,1.0727582340000001,0.038618211,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
TOTAL AUTOS AREA 6,2019-08-18,BOTELLA,RETORNABLE,1,1001 O MAS,13.512,382.087,28.27760509,67,73,100.8,59.0,82.91, 22.59 ,6807.6269999999995,1634.049,0.035909773,-0.02395118,-0.042029453,0.053830703,0.05102077,0,0,0,0,0,0,1.075452984,0.008025792,2019,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
TOTAL AUTOS AREA 5,2018-12-16,LATA,NO RETORNABLE,4,401-500,28.289,890.186,31.467566899999998,80,84,72.4,19.4,53.7, -   ,7748.099,1398.8010000000006,-0.092856155,0.007888293000000001,-0.06928380599999999,0.025592406,0.012522469,0,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 2,2019-04-07,LATA,NO RETORNABLE,1,401-500,4.053,121.135,29.88773748,50,59,105.8,35.6,72.09, 0.95 ,6699.226,1648.611,-0.013202387,0.060954355,-0.002201729,0.070916736,0.032706544,0,0,0,0,0,0,1.0646739859999999,0.076497199,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
TOTAL AUTOS AREA 5,2018-05-20,LATA,NO RETORNABLE,1,401-500,4.143,142.993,34.51436157,73,75,85.0,41.0,66.17, 5.38 ,6927.291,1289.805,0.040102985,1.11536e-05,0.032079552000000004,-0.006691743000000001,-0.035594116,0,0,0,0,0,0,1.035031742,0.05913808900000001,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 3,2019-12-29,LATA,NO RETORNABLE,1,401-500,7.858,274.628,34.94884194,77,83,94.0,39.2,63.49, -   ,13210.323999999999,1395.71,-0.028833337999999997,-0.054825687000000005,-0.113850017,0.000605483,-0.000311161,1,0,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 3,TOTAL AUTOS AREA 3
TOTAL AUTOS AREA 2,2018-11-25,BOTELLA,RETORNABLE,1,1001 O MAS,12.799000000000001,345.468,26.99179623,72,76,91.4,26.9,61.56, 5.17 ,5918.74,1498.412,0.019554573000000002,0.004760881,-0.045447651,0.015016256,0.012688173999999998,0,0,0,0,0,0,1.0512002390000001,-0.019863996999999998,2018,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
TOTAL AUTOS AREA 5,2018-12-23,LATA,NO RETORNABLE,4,401-500,29.43,928.477,31.54865783,82,86,77.8,26.6,55.45, -   ,9559.144,1501.138,-0.08704299800000001,-0.034682054,-0.066316412,0.030977576,0.014335714,0,1,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 2,2019-04-14,LATA,NO RETORNABLE,1,401-500,5.487,158.227,28.83670494,55,62,102.9,32.0,71.79, 0.43 ,7828.475,1916.485,-0.015981692,0.019323065,-0.05442353,0.061034932,0.029421118,0,0,0,0,0,0,1.0646739859999999,0.076497199,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
TOTAL AUTOS AREA 5,2018-05-27,LATA,NO RETORNABLE,1,401-500,4.678,159.701,34.1387345,79,88,90.4,39.2,68.82, -   ,6275.531,1018.311,0.041695972000000005,0.009874367,-0.080751117,0.001117175,-0.031936956,0,0,0,0,0,0,1.035031742,0.05913808900000001,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 2,2018-12-02,BOTELLA,RETORNABLE,1,1001 O MAS,12.817,343.1040000000001,26.76944683,70,74,89.8,27.2,61.74, 5.70 ,6125.0819999999985,1680.463,-0.035397725,0.026323729,-0.03823624,0.020139976,0.009975338,0,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
TOTAL AUTOS AREA 5,2018-12-30,LATA,NO RETORNABLE,4,401-500,40.448,1304.729,32.25694719,83,87,74.2,24.8,56.52, -   ,12713.418,1762.033,-0.074214285,-0.029883395,-0.039665692,0.035433402999999995,0.016322349,1,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 5,2019-01-06,LATA,NO RETORNABLE,4,401-500,33.154,1098.583,33.13576039,82,78,76.0,26.6,55.84, -   ,9080.44,1391.81,-0.042686392999999996,0.030311571000000002,0.016361017,0.042330665999999996,0.0124669,1,0,0,0,0,0,1.056589738,-0.046198099000000006,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 1,2019-02-03,BOTELLA,RETORNABLE,1,1001 O MAS,4.64,127.319,27.43943966,45,53,91.4,35.6,65.83, 1.45 ,6364.406999999997,637.007,-0.026949955,0.052335699000000006,0.02789445,0.04825158400000002,0.02384007,0,0,0,0,0,0,1.059284487,-0.047299884,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
TOTAL AUTOS AREA 5,2019-01-13,LATA,NO RETORNABLE,4,401-500,17.159000000000002,551.561,32.14412262,80,64,72.4,33.8,57.04, -   ,4830.403,902.3789999999999,-0.0035609490000000008,0.076851634,0.043694615,0.050251950999999996,0.010475236,0,0,0,0,0,0,1.056589738,-0.046198099000000006,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 4,2018-02-18,LATA,NO RETORNABLE,6,251-400,8.925,288.369,32.3102521,58,64,93.3,38.2,67.74, 1.59 ,5351.353,612.035,0.006824425,0.0030613940000000003,0.055959975999999995,-0.020427063,0.004249893,0,0,0,0,0,0,1.026947494,-0.047299884,2018,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
TOTAL AUTOS AREA 5,2019-01-20,LATA,NO RETORNABLE,4,401-500,20.301,654.048,32.21752623,80,75,77.8,26.6,58.02, -   ,5084.96,936.878,-0.016357103,0.066842174,0.030895274,0.039719803,0.018937625,0,0,0,0,0,0,1.056589738,-0.046198099000000006,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 5,2019-06-30,BOTELLA,RETORNABLE,1,1001 O MAS,39.404,1059.0410000000004,26.87648462,88,94,79.6,44.6,63.85, 2.06 ,7415.733,1036.5410000000004,0.011209718,-0.052072107,-0.158246393,0.066286977,0.027035517999999998,0,0,0,0,0,0,1.070063485,0.033881833,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 6,2019-08-25,BOTELLA,RETORNABLE,1,1001 O MAS,13.876,392.097,28.25720669,64,66,102.2,50.0,83.4, 14.76 ,6200.615,1403.976,0.026770891,-0.023022315,-0.047151359000000004,0.050749277999999995,0.052393262,0,0,0,0,0,0,1.075452984,0.008025792,2019,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
TOTAL AUTOS AREA 4,2018-02-25,LATA,NO RETORNABLE,6,251-400,9.672,309.768,32.02729529,58,64,95.4,41.2,70.34, 1.58 ,4905.978,608.104,0.008826518,-0.004997755,0.062417365999999995,-0.02205543,0.004004112,0,0,0,0,0,0,1.026947494,-0.047299884,2018,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
TOTAL AUTOS AREA 5,2019-01-27,LATA,NO RETORNABLE,4,401-500,20.587,665.97,32.34905523,79,77,76.0,28.4,57.0, -   ,4940.649,899.691,-0.018828136999999998,0.06838722700000001,0.008464491,0.037497309,0.022459922,0,0,0,0,0,0,1.056589738,-0.046198099000000006,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 5,2019-07-07,BOTELLA,RETORNABLE,1,1001 O MAS,39.959,1074.406,26.887709899999997,88,88,79.6,44.6,64.32, 8.49 ,8490.645,1176.708,0.021393191000000002,0.0036874990000000003,-0.054436398,0.059044835,0.027424018999999997,0,0,0,0,0,0,1.0727582340000001,0.038618211,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 4,2018-03-04,LATA,NO RETORNABLE,6,251-400,11.093,362.284,32.65879383,60,51,95.0,40.9,69.62, 4.04 ,5996.408,882.215,0.009743816,0.004486125,0.07037992700000001,-0.021983686000000002,0.003977177,0,0,0,0,0,0,1.0296422440000002,0.033368106,2018,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
