REGIONDESC,TIMEDESC,PRODHIERARCHY3,PRODHIERARCHY4,PRODHIERARCHY5,PRODHIERARCHY6,VOLUME,REVENUE_PESOS,ACTUALPRICE,DISTRIBUTION_NUMERIC,WEIGHTEDDISTRIBUTION,MAX_TEMP,MIN_TEMP,AVG_TEMP,PRECIPITATION,CATEGORY_SALES,CATEGORY_SALES_REGIONAL,BARILLITO_MC_PRICE,TECATE_MC_PRICE,HEINEKEN_MC_PRICE,INDIO_MC_PRICE,BOHEMIA_MC_PRICE,New_Years_Day,Christmas_Day,Day_of_Dead,Easter_Day,Fathers_Day,Independence_Day,Trend,seasonality_index,Year,GEODESC,CHANNELDESC,PRODDESC,GEODESC1,GEOGDESC
TOTAL AUTOS AREA 5,2019-08-18,LATA,NO RETORNABLE,1,401-500,4.0969999999999995,170.084,41.51427874,80,90,81.4,46.4,65.31, 4.67 ,6807.6269999999995,1026.889,0.035909773,-0.02395118,-0.042029453,0.053830703,0.05102077,0,0,0,0,0,0,1.075452984,0.008025792,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 2,2018-08-26,BOTELLA,RETORNABLE,1,251-400,0.052000000000000005,1.7819999999999998,34.26923077,2,4,106.5,48.2,80.05, 4.28 ,5709.565,1582.536,-0.005042496,-0.0015885920000000002,-0.033933291000000004,0.012186473,-0.01461731,0,0,0,0,0,0,1.0431159909999999,0.008025792,2018,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
TOTAL AUTOS AREA 4,2019-12-01,BOTELLA,NO RETORNABLE,12,251-400,1.3030000000000002,54.812,42.06600153,19,27,94.4,33.8,66.41, 0.08 ,6043.717,786.265,0.032915803,-0.015087366999999999,-0.045792735,0.014931676000000001,-0.027125943,0,0,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
TOTAL AUTOS AREA 1,2018-04-01,BOTELLA,NO RETORNABLE,6,251-400,0.995,39.403,39.60100503,16,24,98.6,41.0,71.88, -   ,11468.354,1337.5620000000001,0.00017308,-0.097900426,0.032239635,-0.011943511,-0.004822173,0,0,0,1,0,0,1.032336993,0.076497199,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
TOTAL AUTOS AREA 5,2019-09-01,LATA,NO RETORNABLE,12,251-400,21.291,675.923,31.74688836,80,89,79.6,42.8,64.11, 2.93 ,6227.7109999999975,984.12,0.023653802,-0.024621326000000002,-0.048799870999999995,0.055962715999999996,0.053008322000000004,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 6,2018-12-30,LATA,NO RETORNABLE,6,251-400,11.261,317.44,28.18932599,8,7,94.5,44.6,77.51, 4.04 ,12713.418,2637.2129999999997,-0.074214285,-0.029883395,-0.039665692,0.035433402999999995,0.016322349,1,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
TOTAL AUTOS AREA 1,2018-08-12,BOTELLA,RETORNABLE,1,1001 O MAS,5.506,157.874,28.67308391,43,49,107.6,62.6,84.11, 6.87 ,6128.538000000001,732.221,-0.005397575,0.000619424,-0.007592325,0.010048429000000001,-0.011850208000000001,0,0,0,0,0,0,1.0431159909999999,0.008025792,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
TOTAL AUTOS AREA 2,2019-08-04,BOTELLA,RETORNABLE,1,0-250,0.02,0.828,41.4,1,2,108.7,52.1,82.33, 7.26 ,7425.016,2063.259,0.022618459,-0.019119785,-0.037260692000000005,0.062889504,0.043506811,0,0,0,0,0,0,1.075452984,0.008025792,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
TOTAL AUTOS AREA 5,2019-08-25,LATA,NO RETORNABLE,1,401-500,3.428,142.305,41.51254376,78,90,79.6,42.8,65.22, 2.02 ,6200.615,1025.0539999999999,0.026770891,-0.023022315,-0.047151359000000004,0.050749277999999995,0.052393262,0,0,0,0,0,0,1.075452984,0.008025792,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 6,2018-11-11,BOTELLA,RETORNABLE,12,0-250,1.855,77.33800000000002,41.691644200000006,37,48,96.8,42.8,75.47, 15.88 ,5976.533,1236.3,0.029458662000000007,0.008940638,-0.032751603,0.002713637,0.019697423000000002,0,0,0,0,0,0,1.0512002390000001,-0.019863996999999998,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
