,REGIONDESC,TIMEDESC,PRODHIERARCHY3,PRODHIERARCHY4,PRODHIERARCHY5,PRODHIERARCHY6,VOLUME,REVENUE_PESOS,ACTUALPRICE,DISTRIBUTION_NUMERIC,WEIGHTEDDISTRIBUTION,MAX_TEMP,MIN_TEMP,AVG_TEMP,PRECIPITATION,CATEGORY_SALES,CATEGORY_SALES_REGIONAL,BARILLITO_MC_PRICE,TECATE_MC_PRICE,HEINEKEN_MC_PRICE,INDIO_MC_PRICE,BOHEMIA_MC_PRICE,New_Years_Day,Christmas_Day,Day_of_Dead,Easter_Day,Fathers_Day,Independence_Day,Trend,seasonality_index,Year,GEODESC,CHANNELDESC,PRODDESC,GEODESC1,GEOGDESC
0,TOTAL AUTOS AREA 6,11/25/18,LATA,NO RETORNABLE,6,251-400,0.82,23.485,28.6402439,8,8,100.4,48.2,77.65, 9.59 ,5918.74,1251.255,0.019554573,0.004760881,-0.045447651,0.015016256,0.0126881739999999,0,0,0,0,0,0,1.051200239,-0.0198639969999999,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
1,TOTAL AUTOS AREA 1,07/29/18,BOTELLA,RETORNABLE,1,1001 O MAS,5.126,144.77100000000004,28.24248927,42,48,112.1,60.8,87.50659341, 2.08 ,7305.316999999999,865.28,-0.004077868,-0.017752569,-0.056512257,-0.036362532,-0.032729585,0,0,0,0,0,0,1.040421241,0.038618211,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
2,TOTAL AUTOS AREA 2,03/31/19,BOTELLA,RETORNABLE,1,0-250,0.015,0.623,41.53333333,2,2,97.3,35.6,67.3, 5.08 ,7322.72,1716.217,-0.016281513,0.068143689,-0.006878068,0.066637854,0.030539687,0,0,0,0,0,0,1.061979237,0.033368106,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
3,TOTAL AUTOS AREA 2,12/02/18,BOTELLA,NO RETORNABLE,12,251-400,0.012,0.586,48.83333333,0,0,89.8,27.2,61.74, 5.70 ,6125.081999999999,1680.463,-0.035397725,0.026323729,-0.03823624,0.020139976,0.009975338,0,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
4,TOTAL AUTOS AREA 4,09/30/18,BOTELLA,RETORNABLE,1,0-250,0.0139999999999999,0.579,41.35714286,0,0,93.6,46.4,70.47, 16.41 ,5768.913000000001,719.3480000000003,0.018148893,-0.009140585,-0.041405803,-0.011678962,0.035147529,0,0,0,0,0,0,1.04581074,-0.021619771,2018,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
5,TOTAL AUTOS AREA 4,11/24/19,BOTELLA,NO RETORNABLE,12,251-400,1.314,63.129,48.043379,22,30,94.7,41.0,68.43, -   ,5690.221,745.4060000000003,0.040090662,-0.034220499,-0.039782212,0.009360671,-0.022118975,0,0,0,0,0,0,1.083537232,-0.0198639969999999,2019,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
6,TOTAL AUTOS AREA 1,03/25/18,BOTELLA,NO RETORNABLE,6,251-400,0.716,28.327,39.56284916,16,27,98.6,42.8,69.88, -   ,7072.234,704.5169999999997,-0.00081689,-0.051172502,0.041881954,-0.011396037,-0.000795088,0,0,0,0,0,0,1.0296422440000002,0.033368106,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
7,TOTAL AUTOS AREA 5,08/25/19,LATA,NO RETORNABLE,12,251-400,19.221,606.7919999999998,31.56922116,80,90,79.6,42.8,65.22, 2.02 ,6200.615,1025.054,0.026770891,-0.023022315,-0.047151359,0.0507492779999999,0.052393262,0,0,0,0,0,0,1.075452984,0.008025792,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
8,TOTAL AUTOS AREA 6,12/09/18,LATA,NO RETORNABLE,6,251-400,1.001,29.54300000000001,29.51348651,8,6,92.9,41.0,74.06, 5.19 ,7047.946999999999,1349.271,-0.077687805,0.003868857,-0.056036135,0.0238939889999999,0.012233829,0,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
9,TOTAL AUTOS AREA 1,08/05/18,BOTELLA,RETORNABLE,1,1001 O MAS,5.712999999999999,160.741,28.136005600000004,44,48,111.2,62.6,85.84, 6.34 ,7532.505999999998,838.6560000000003,-0.009655079,0.004444476,-0.01723662,0.0063252269999999,-0.008646339,0,0,0,0,0,0,1.043115991,0.008025792,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
10,TOTAL AUTOS AREA 2,12/23/18,BOTELLA,NO RETORNABLE,12,251-400,0.012,0.5870000000000001,48.91666667,0,0,86.9,19.4,59.59, 0.74 ,9559.144,2553.028,-0.087042998,-0.034682054,-0.066316412,0.030977576,0.014335714,0,1,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
11,TOTAL AUTOS AREA 5,08/18/19,LATA,NO RETORNABLE,1,401-500,4.097,170.084,41.51427874,80,90,81.4,46.4,65.31, 4.67 ,6807.627,1026.889,0.035909773,-0.02395118,-0.042029453,0.053830703,0.05102077,0,0,0,0,0,0,1.075452984,0.008025792,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
12,TOTAL AUTOS AREA 2,08/26/18,BOTELLA,RETORNABLE,1,251-400,0.052,1.7819999999999998,34.26923077,2,4,106.5,48.2,80.05, 4.28 ,5709.565,1582.536,-0.005042496,-0.001588592,-0.033933291,0.012186473,-0.01461731,0,0,0,0,0,0,1.043115991,0.008025792,2018,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,251-400_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
13,TOTAL AUTOS AREA 4,12/01/19,BOTELLA,NO RETORNABLE,12,251-400,1.3030000000000002,54.812,42.06600153,19,27,94.4,33.8,66.41, 0.08 ,6043.717,786.265,0.032915803,-0.0150873669999999,-0.045792735,0.014931676,-0.027125943,0,0,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
14,TOTAL AUTOS AREA 1,04/01/18,BOTELLA,NO RETORNABLE,6,251-400,0.995,39.403,39.60100503,16,24,98.6,41.0,71.88, -   ,11468.354,1337.562,0.00017308,-0.097900426,0.032239635,-0.011943511,-0.004822173,0,0,0,1,0,0,1.032336993,0.076497199,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
15,TOTAL AUTOS AREA 5,09/01/19,LATA,NO RETORNABLE,12,251-400,21.291,675.923,31.74688836,80,89,79.6,42.8,64.11, 2.93 ,6227.7109999999975,984.12,0.023653802,-0.024621326,-0.0487998709999999,0.0559627159999999,0.053008322,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
16,TOTAL AUTOS AREA 6,12/30/18,LATA,NO RETORNABLE,6,251-400,11.261,317.44,28.18932599,8,7,94.5,44.6,77.51, 4.04 ,12713.418,2637.213,-0.074214285,-0.029883395,-0.039665692,0.0354334029999999,0.016322349,1,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
17,TOTAL AUTOS AREA 1,08/12/18,BOTELLA,RETORNABLE,1,1001 O MAS,5.506,157.874,28.67308391,43,49,107.6,62.6,84.11, 6.87 ,6128.538000000001,732.221,-0.005397575,0.000619424,-0.007592325,0.010048429,-0.011850208,0,0,0,0,0,0,1.043115991,0.008025792,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
18,TOTAL AUTOS AREA 2,08/04/19,BOTELLA,RETORNABLE,1,0-250,0.02,0.828,41.4,1,2,108.7,52.1,82.33, 7.26 ,7425.016,2063.259,0.022618459,-0.019119785,-0.037260692,0.062889504,0.043506811,0,0,0,0,0,0,1.075452984,0.008025792,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
19,TOTAL AUTOS AREA 5,08/25/19,LATA,NO RETORNABLE,1,401-500,3.428,142.305,41.51254376,78,90,79.6,42.8,65.22, 2.02 ,6200.615,1025.054,0.026770891,-0.023022315,-0.047151359,0.0507492779999999,0.052393262,0,0,0,0,0,0,1.075452984,0.008025792,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
20,TOTAL AUTOS AREA 6,11/11/18,BOTELLA,RETORNABLE,12,0-250,1.855,77.33800000000002,41.691644200000006,37,48,96.8,42.8,75.47, 15.88 ,5976.533,1236.3,0.029458662,0.008940638,-0.032751603,0.002713637,0.019697423,0,0,0,0,0,0,1.051200239,-0.0198639969999999,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
21,TOTAL AUTOS AREA 4,12/08/19,BOTELLA,NO RETORNABLE,12,251-400,1.412,55.39100000000001,39.22875354,15,21,93.2,31.3,64.3, -   ,6347.913000000001,850.03,-0.0144790439999999,-0.005634138,-0.1101884069999999,0.007714233,-0.033937485,0,0,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
22,TOTAL AUTOS AREA 1,04/08/18,BOTELLA,NO RETORNABLE,6,251-400,0.779,30.654,39.35044929,15,27,100.4,39.2,72.89, -   ,6059.311,725.596,0.002693397,-0.011045236,0.059956995,-0.003809829,-0.008940387,0,0,0,0,0,0,1.032336993,0.076497199,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
23,TOTAL AUTOS AREA 1,02/24/19,LATA,NO RETORNABLE,6,251-400,0.026,0.873,33.57692308,0,1,91.4,39.2,66.1, 0.24 ,5554.344,515.535,-0.024189102,0.060282215,0.023123024,0.036167067,0.026912666,0,0,0,0,0,0,1.059284487,-0.047299884,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
24,TOTAL AUTOS AREA 5,09/08/19,LATA,NO RETORNABLE,12,251-400,20.107,640.428,31.85099717,80,91,79.6,48.2,63.94, 3.45 ,6051.834,1000.353,0.056274492,0.010606315,-0.002171916,0.056008949,0.053751855,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
25,TOTAL AUTOS AREA 6,02/10/19,LATA,NO RETORNABLE,6,251-400,0.72,19.211,26.68194444,5,3,102.8,48.2,76.51, 6.80 ,5806.505999999999,1337.362,-0.019358122,0.066191819,0.0256995379999999,0.03997353,0.024223665,0,0,0,0,0,0,1.059284487,-0.047299884,2019,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
26,TOTAL AUTOS AREA 1,08/19/18,BOTELLA,RETORNABLE,1,1001 O MAS,5.002,141.531,28.29488205,43,50,107.6,62.6,85.45, 5.18 ,5926.432,652.428,-0.005815128,0.004517655,-0.027442979,0.010798281,-0.01745385,0,0,0,0,0,0,1.043115991,0.008025792,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
27,TOTAL AUTOS AREA 2,09/08/19,BOTELLA,RETORNABLE,1,0-250,0.02,0.8370000000000001,41.85,1,2,103.6,48.5,77.15, 11.80 ,6051.834,1595.0120000000006,0.056274492,0.010606315,-0.002171916,0.056008949,0.053751855,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
28,TOTAL AUTOS AREA 5,09/01/19,LATA,NO RETORNABLE,1,401-500,3.997,167.99200000000005,42.02952214,78,86,79.6,42.8,64.11, 2.93 ,6227.7109999999975,984.12,0.023653802,-0.024621326,-0.0487998709999999,0.0559627159999999,0.053008322,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
29,TOTAL AUTOS AREA 1,11/17/19,LATA,NO RETORNABLE,6,251-400,0.126,3.13,24.84126984,0,1,95.0,48.4,72.54, 5.52 ,6461.15,630.419,0.040713199,-0.013624957,-0.035379216,0.0097203769999999,0.0039828979999999,0,0,0,0,0,0,1.083537232,-0.0198639969999999,2019,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
30,TOTAL AUTOS AREA 6,11/18/18,BOTELLA,RETORNABLE,12,0-250,1.877,78.817,41.99094299,38,56,95.1,50.0,78.26, 2.64 ,6069.696999999999,1391.015,0.0152649,0.004616876,-0.060711153,0.002513188,0.01371072,0,0,0,0,0,0,1.051200239,-0.0198639969999999,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
31,TOTAL AUTOS AREA 2,12/02/18,BOTELLA,RETORNABLE,1,0-250,0.008,0.32,40.0,1,1,89.8,27.2,61.74, 5.70 ,6125.081999999999,1680.463,-0.035397725,0.026323729,-0.03823624,0.020139976,0.009975338,0,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
32,TOTAL AUTOS AREA 4,12/15/19,BOTELLA,NO RETORNABLE,12,251-400,1.264,50.315,39.80617089,14,18,91.9,30.5,62.25, 1.60 ,7993.681,1253.4260000000004,-0.044898757,-0.021667203,-0.117140177,-0.004539039,-0.026688068,0,0,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
33,TOTAL AUTOS AREA 1,04/15/18,BOTELLA,NO RETORNABLE,6,251-400,0.735,29.023000000000003,39.48707483,14,25,100.4,46.4,72.15, -   ,6384.9119999999975,700.561,-0.003973054,-0.01239244,0.05975538,-0.012094721,-0.021239084,0,0,0,0,0,0,1.032336993,0.076497199,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
34,TOTAL AUTOS AREA 5,09/15/19,LATA,NO RETORNABLE,12,251-400,50.984,1551.5839999999994,30.43276322,83,93,77.8,44.6,64.45, 3.46 ,8666.655,1794.162,0.0551100729999999,-0.006962853,-0.006865063,0.056306497,0.04993622,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
35,TOTAL AUTOS AREA 1,08/26/18,BOTELLA,RETORNABLE,1,1001 O MAS,5.401,152.155,28.17163488,43,51,105.8,60.8,84.59, 8.46 ,5709.565,664.7,-0.005042496,-0.001588592,-0.033933291,0.012186473,-0.01461731,0,0,0,0,0,0,1.043115991,0.008025792,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
36,TOTAL AUTOS AREA 2,09/15/19,BOTELLA,RETORNABLE,1,0-250,0.022,0.935,42.5,1,2,106.9,49.6,77.58, 6.50 ,8666.655,2075.79,0.0551100729999999,-0.006962853,-0.006865063,0.056306497,0.04993622,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
37,TOTAL AUTOS AREA 5,09/08/19,LATA,NO RETORNABLE,1,401-500,3.451,145.253,42.09011881,77,86,79.6,48.2,63.94, 3.45 ,6051.834,1000.353,0.056274492,0.010606315,-0.002171916,0.056008949,0.053751855,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
38,TOTAL AUTOS AREA 6,11/25/18,BOTELLA,RETORNABLE,12,0-250,1.945,80.817,41.55115681,40,51,100.4,48.2,77.65, 9.59 ,5918.74,1251.255,0.019554573,0.004760881,-0.045447651,0.015016256,0.0126881739999999,0,0,0,0,0,0,1.051200239,-0.0198639969999999,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
39,TOTAL AUTOS AREA 4,12/22/19,BOTELLA,NO RETORNABLE,12,251-400,1.0490000000000002,40.174,38.29742612,11,18,92.0,33.2,63.89, 1.09 ,8145.14,1018.354,-0.038510776,-0.040120892,-0.118604796,-0.011673781,-0.013422934,0,1,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
40,TOTAL AUTOS AREA 1,04/22/18,BOTELLA,NO RETORNABLE,6,251-400,0.6920000000000001,27.44,39.65317919,14,24,104.9,46.4,76.71, -   ,5903.285,617.738,0.036030257,0.00120821,0.0622473979999999,-0.007084988,-0.026264904,0,0,0,0,0,0,1.032336993,0.076497199,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
41,TOTAL AUTOS AREA 5,09/22/19,LATA,NO RETORNABLE,12,251-400,17.812,544.3919999999998,30.56321581,76,87,79.6,42.8,65.1, 3.24 ,5651.767,873.93,0.065235921,-0.004488152,-0.010205311,0.0575485709999999,0.047724859,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
42,TOTAL AUTOS AREA 1,09/02/18,BOTELLA,RETORNABLE,1,1001 O MAS,4.544,127.977,28.16395246,43,48,109.4,62.6,84.01, 10.18 ,6157.774,689.6519999999997,-0.013627566,0.0031590529999999,-0.028810445,0.003160069,-0.011527295,0,0,0,0,0,0,1.04581074,-0.021619771,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
43,TOTAL AUTOS AREA 2,09/22/19,BOTELLA,RETORNABLE,1,0-250,0.024,1.006,41.91666667,1,2,102.9,49.2,77.76, 3.84 ,5651.767,1564.441,0.065235921,-0.004488152,-0.010205311,0.0575485709999999,0.047724859,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
44,TOTAL AUTOS AREA 5,06/16/19,LATA,NO RETORNABLE,1,401-500,8.116,255.911,31.53166585,82,90,83.2,48.2,68.18, 2.71 ,9336.002,1328.3729999999996,-0.000628659,0.011812975,-0.048929604,0.050571665,0.0124610389999999,0,0,0,0,1,1,1.070063485,0.033881833,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
45,TOTAL AUTOS AREA 5,09/15/19,LATA,NO RETORNABLE,1,401-500,6.502999999999999,273.494,42.05658927,82,93,77.8,44.6,64.45, 3.46 ,8666.655,1794.162,0.0551100729999999,-0.006962853,-0.006865063,0.056306497,0.04993622,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
46,TOTAL AUTOS AREA 6,12/02/18,BOTELLA,RETORNABLE,12,0-250,2.17,89.853,41.40691244,37,43,95.7,48.2,78.92, 5.39 ,6125.081999999999,1348.308,-0.035397725,0.026323729,-0.03823624,0.020139976,0.009975338,0,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
47,TOTAL AUTOS AREA 4,12/29/19,BOTELLA,NO RETORNABLE,12,251-400,0.94,38.063,40.49255319,11,16,92.2,35.9,64.93, -   ,13210.324,1828.123,-0.0288333379999999,-0.054825687,-0.113850017,0.000605483,-0.000311161,1,0,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
48,TOTAL AUTOS AREA 1,04/29/18,BOTELLA,NO RETORNABLE,6,251-400,0.71,28.056,39.51549296,14,23,102.2,48.2,74.55, 0.20 ,6347.847,720.795,0.04385645,-0.052423029,0.049200905,-0.022055078,-0.031212507,0,0,0,0,0,0,1.032336993,0.076497199,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
49,TOTAL AUTOS AREA 5,09/29/19,LATA,NO RETORNABLE,12,251-400,20.823,631.302,30.317533500000003,76,86,76.0,46.4,63.85, 2.80 ,5590.625,934.72,0.065485488,0.017774206,-0.007402028,0.058444034,0.042895964,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
50,TOTAL AUTOS AREA 1,09/09/18,BOTELLA,RETORNABLE,1,1001 O MAS,4.169,117.121,28.09330775,42,45,110.3,59.0,85.12, 6.20 ,6533.767,641.227,-0.003840408,-0.019299864,-0.071335557,-0.002807639,0.024898891,0,0,0,0,0,0,1.04581074,-0.021619771,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
51,TOTAL AUTOS AREA 5,06/23/19,LATA,NO RETORNABLE,1,401-500,5.403,173.864,32.17915973,79,83,77.8,46.4,64.92, 5.09 ,7365.141,1008.053,0.017117494,-0.0265432179999999,-0.112578451,0.051775874,0.020292766,0,0,0,0,0,0,1.070063485,0.033881833,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
52,TOTAL AUTOS AREA 5,09/22/19,LATA,NO RETORNABLE,1,401-500,3.182,134.105,42.14487744,76,86,79.6,42.8,65.1, 3.24 ,5651.767,873.93,0.065235921,-0.004488152,-0.010205311,0.0575485709999999,0.047724859,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
53,TOTAL AUTOS AREA 6,12/09/18,BOTELLA,RETORNABLE,12,0-250,2.162,86.757,40.12812211,40,53,92.9,41.0,74.06, 5.19 ,7047.946999999999,1349.271,-0.077687805,0.003868857,-0.056036135,0.0238939889999999,0.012233829,0,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
54,TOTAL AUTOS AREA 1,05/06/18,BOTELLA,NO RETORNABLE,6,251-400,0.87,34.468,39.6183908,15,25,109.4,53.6,79.74, 0.16 ,6216.272,723.6389999999999,0.055144884,-0.021909876,0.034110714,-0.021326789,-0.027550132,0,0,0,0,0,0,1.035031742,0.059138089,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
55,TOTAL AUTOS AREA 5,10/06/19,LATA,NO RETORNABLE,12,251-400,20.557,619.51,30.13620664,76,85,81.4,41.0,64.71, 1.96 ,5308.6280000000015,881.8480000000003,0.078381253,0.013497766,-0.003841365,0.055210033,0.039438861,0,0,0,0,0,0,1.080842482,-0.06891731,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
